"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 05 17:24:49 UTC 2025","Sat Apr 05 17:24:53 UTC 2025","3980","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_02_AddNewUnit","CS_02_AddNewUnit",""
"skipped","Sat Apr 05 17:24:47 UTC 2025","Sat Apr 05 17:24:47 UTC 2025","1","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.GeneralInformation","testcases.admin.organization.GeneralInformation","GI_01_CheckUI","GI_01_CheckUI",""
"broken","Sat Apr 05 17:24:47 UTC 2025","Sat Apr 05 17:24:47 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.GeneralInformation","testcases.admin.organization.GeneralInformation","beforeClass","beforeClass","Open Generate Information Page"
"passed","Sat Apr 05 17:25:11 UTC 2025","Sat Apr 05 17:25:19 UTC 2025","7807","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_05_AddSubOrganizationUnit","CS_05_AddSubOrganizationUnit",""
"skipped","Sat Apr 05 17:24:47 UTC 2025","Sat Apr 05 17:24:47 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.GeneralInformation","testcases.admin.organization.GeneralInformation","GI_01_EditGeneralInformation","GI_01_EditGeneralInformation",""
"passed","Sat Apr 05 17:24:55 UTC 2025","Sat Apr 05 17:25:10 UTC 2025","15185","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_04_DeleteOrganizationUnit","CS_04_DeleteOrganizationUnit",""
"passed","Sat Apr 05 17:24:54 UTC 2025","Sat Apr 05 17:24:54 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_03_EditOrganizationUnit","CS_03_EditOrganizationUnit",""
"passed","Sat Apr 05 17:24:35 UTC 2025","Sat Apr 05 17:24:47 UTC 2025","11807","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_08_DeleteMultipleLocations","LO_08_DeleteMultipleLocations",""
"passed","Sat Apr 05 17:25:20 UTC 2025","Sat Apr 05 17:25:21 UTC 2025","964","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_06_VerifyAddUnitValidations","CS_06_VerifyAddUnitValidations",""
"passed","Sat Apr 05 17:22:04 UTC 2025","Sat Apr 05 17:22:13 UTC 2025","9051","OrangeHRM Project","Run on Chrome browser","testcases.admin.job.JobTitles","testcases.admin.job.JobTitles","JT_03_User_Update_Job_Title","JT_03_User_Update_Job_Title",""
"passed","Sat Apr 05 17:23:44 UTC 2025","Sat Apr 05 17:24:26 UTC 2025","41969","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_06_UpdateLocation","LO_06_UpdateLocation",""
"passed","Sat Apr 05 17:22:14 UTC 2025","Sat Apr 05 17:22:30 UTC 2025","15687","OrangeHRM Project","Run on Chrome browser","testcases.admin.job.JobTitles","testcases.admin.job.JobTitles","JT_04_User_Delete_Job_Title","JT_04_User_Delete_Job_Title",""
"passed","Sat Apr 05 17:23:03 UTC 2025","Sat Apr 05 17:23:09 UTC 2025","5967","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_02_CreateNewLocation","LO_02_CreateNewLocation",""
"passed","Sat Apr 05 17:23:21 UTC 2025","Sat Apr 05 17:23:31 UTC 2025","10411","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_04_SearchByCity","LO_04_SearchByCity",""
"passed","Sat Apr 05 17:24:27 UTC 2025","Sat Apr 05 17:24:35 UTC 2025","7478","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_07_DeleteSingleLocation","LO_07_DeleteSingleLocation",""
"passed","Sat Apr 05 17:23:09 UTC 2025","Sat Apr 05 17:23:20 UTC 2025","10393","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_03_SearchByName","LO_03_SearchByName",""
"passed","Sat Apr 05 17:25:21 UTC 2025","Sat Apr 05 17:25:21 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.TestNGExample","testcases.admin.organization.TestNGExample","TC01","TC01",""
"passed","Sat Apr 05 17:21:59 UTC 2025","Sat Apr 05 17:22:04 UTC 2025","4686","OrangeHRM Project","Run on Chrome browser","testcases.admin.job.JobTitles","testcases.admin.job.JobTitles","JT_02_User_Create_New_Job_Title","JT_02_User_Create_New_Job_Title",""
"passed","Sat Apr 05 17:25:21 UTC 2025","Sat Apr 05 17:25:21 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.TestNGExample","testcases.admin.organization.TestNGExample","TC02","TC02",""
"passed","Sat Apr 05 17:22:31 UTC 2025","Sat Apr 05 17:23:00 UTC 2025","29554","OrangeHRM Project","Run on Chrome browser","testcases.admin.job.JobTitles","testcases.admin.job.JobTitles","JT_05_User_Delete_Multiple_Job_Titles","JT_05_User_Delete_Multiple_Job_Titles",""
"passed","Sat Apr 05 17:23:32 UTC 2025","Sat Apr 05 17:23:44 UTC 2025","11689","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_05_SearchByCountry","LO_05_SearchByCountry",""
"passed","Sat Apr 05 17:24:48 UTC 2025","Sat Apr 05 17:24:49 UTC 2025","283","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Structure","testcases.admin.organization.Structure","CS_01_VerifyUI","CS_01_VerifyUI",""
"passed","Sat Apr 05 17:23:02 UTC 2025","Sat Apr 05 17:23:02 UTC 2025","227","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.Locations","testcases.admin.organization.Locations","LO_01_CheckUI","LO_01_CheckUI",""
"passed","Sat Apr 05 17:21:58 UTC 2025","Sat Apr 05 17:21:58 UTC 2025","130","OrangeHRM Project","Run on Chrome browser","testcases.admin.job.JobTitles","testcases.admin.job.JobTitles","JT_01_CheckUI","JT_01_CheckUI",""
"passed","Sat Apr 05 17:25:21 UTC 2025","Sat Apr 05 17:25:21 UTC 2025","0","OrangeHRM Project","Run on Chrome browser","testcases.admin.organization.TestNGExample","testcases.admin.organization.TestNGExample","TC03","TC03",""
